createAt,manageObject,M8061C20,M8061C214,M8061C240,M8061C0,M8061C5,M8061C9,M8061C7,M8061C11,M8061C156,M8061C118,M8061C154,M8061C24,M8061C66,M8061C158,M8061C4,M8061C116,M8061C198,M8061C204,M8061C1,M8061C6,M8061C192,M8061C44,M8061C48,M8061C121,M8061C19,M8061C108,M8061C119,M8061C43,M8061C65
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,11.0,10.0,11.0,,,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,21.0,22.0,21.0,,,,,,,,,,,,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,57.0,57.0,57.0,,,,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,22.0,26.0,22.0,,,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,35.0,39.0,35.0,,,,,,,,,,,,,,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,33.0,37.0,33.0,,,,,,,,,,,,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,19.0,18.0,19.0,,,,,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,85.0,86.0,85.0,,,,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,29.0,37.0,29.0,,,,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,27.0,29.0,27.0,,,,,,,,,,,,,,,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,46.0,46.0,46.0,,,,,,,,,,,,,,,,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,
2025-05-07T06:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
2025-05-07T07:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,
2025-05-07T08:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,
2025-05-07T09:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,3119.0,15.0,3.0,1.0,3.0,21029.0,8.0,3732.0,12.0,1.0,28035.0,3708.0,,,,,,,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
2025-05-07T10:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T11:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,60.0,66.0,60.0,1.0,,1.0,12.0,4.0,42.0,18.0,,20.0,20.0,1.0,1.0,124.0,,,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,
2025-05-07T12:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,4.0,41.0,4.0,4.0,,4.0,117.0,24.0,192.0,78.0,,115.0,98.0,4.0,4.0,2516.0,,,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,25.0,5.0,5.0,,5.0,86.0,20.0,210.0,90.0,,46.0,100.0,5.0,5.0,560.0,,,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,17.0,21.0,17.0,1.0,,1.0,19.0,4.0,42.0,18.0,,8.0,20.0,1.0,1.0,135.0,,,,,
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,57.0,73.0,57.0,4.0,,4.0,122.0,24.0,168.0,72.0,,40.0,80.0,4.0,4.0,438.0,1.0,1.0,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,25.0,29.0,25.0,1.0,,1.0,19.0,4.0,42.0,18.0,,8.0,20.0,1.0,1.0,116.0,1.0,1.0,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,37.0,13.0,5.0,,5.0,114.0,28.0,234.0,102.0,,68.0,112.0,5.0,5.0,606.0,,,,,
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,7.0,24.0,7.0,1.0,,1.0,18.0,4.0,42.0,18.0,,8.0,20.0,1.0,1.0,127.0,,,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T15:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T16:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T17:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T18:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T19:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T20:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T22:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-07T22:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T22:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-07T23:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-07T23:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,21.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,43.0,47.0,43.0,,,,,,,,,,,,,,,,,,
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,19,900000,900000,900000,900000,,,,,,,,,,,,,,,,,,,,,
2025-05-08T06:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,24.0,34.0,24.0,2.0,,2.0,35.0,9.0,84.0,36.0,,20.0,40.0,2.0,2.0,218.0,,,,,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,49.0,49.0,49.0,,,,,,,,,,,,,,,,,,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,61.0,73.0,61.0,3.0,,3.0,52.0,12.0,126.0,54.0,,30.0,60.0,3.0,3.0,335.0,,,,,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,4.0,22.0,4.0,4.0,,4.0,71.0,16.0,168.0,72.0,,38.0,80.0,4.0,4.0,424.0,,,,,
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,20,900000,900000,900000,900000,15.0,67.0,15.0,2.0,,2.0,36.0,9.0,108.0,42.0,,89.0,58.0,2.0,2.0,2275.0,,,,,
